glyph_name,ps_name,sort_final,USV
sa,u11D89,440,11D89
sa.2dots,u11D89.2dots,441,
sa.dot,u11D89.dot,442,
sa.half,u11D89.half,443,
sa.half.2dots,u11D89.half.2dots,444,
sa.half.dot,u11D89.half.dot,445,
sa_aamatra,u11D89_u11D8A,446,
sa_imatra,u11D89_u11D8B,447,
aamatra,u11D8A,448,11D8A
imatra,u11D8B,449,11D8B
imatra.short,u11D8B.short,450,
iimatra,u11D8C,451,11D8C
iimatra_anusvara,u11D8C_u11D95,452,
umatra,u11D8D,453,11D8D
uumatra,u11D8E,454,11D8E
eematra,u11D90,455,11D90
eematra.short,u11D90.short,456,
eematra_anusvara,u11D90_u11D95,457,
eematra_anusvara.short,u11D90_u11D95.short,458,
aimatra,u11D91,459,11D91
aimatra_anusvara,u11D91_u11D95,460,
oomatra,u11D93,461,11D93
oomatra.short,u11D93.short,462,
oomatra_anusvara.short,u11D93_u11D95.short,463,
aumatra,u11D94,464,11D94
anusvara,u11D95,465,11D95
visarga,u11D96,466,11D96
virama,u11D97,467,11D97
virama.alt,u11D97.alt,468,
om,u11D98,469,11D98
zerogong,u11DA0,470,11DA0
onegong,u11DA1,471,11DA1
twogong,u11DA2,472,11DA2
threegong,u11DA3,473,11DA3
fourgong,u11DA4,474,11DA4
fivegong,u11DA5,475,11DA5
sixgong,u11DA6,476,11DA6
sevengong,u11DA7,477,11DA7
eightgong,u11DA8,478,11DA8
ninegong,u11DA9,479,11DA9
